,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
"('Chlorambucil', 'Mitoxantrone')",-128.0273435,-163.4467972,-133.1537045,-105.1880307,-142.315333,-107.0784526,-87.17546717,-109.2132277,-163.2776738,-162.0907515,-188.400561,-175.1416518,-164.9246119,41.26098526,-95.64279655,-70.57409307,-153.5872372,-117.9192408,-162.7622994,-145.2848906,-239.5981873,-130.8552994,-184.524683,-197.2493837,-189.0705807,-209.0760843,-270.6918378,-139.7630158,31.67497701,-167.5651441,-121.8634465,-267.2158673,-117.7760833,-115.6099831,-245.0594752,-140.9769666,-211.3670752,-216.1721042,-179.4511747,-245.6636123,-44.7878544,-192.201939,-97.95716751,-81.00479236,-53.09584821,-165.3533982,-170.3687968,-140.1459739,-178.4859824,-155.9333228,-124.4056165,-134.4505381,93.86429749,-183.7904808,-192.1224787,-190.0477864,-120.3363001,-252.1814498,-209.6313372,-275.049624
"('Hydroxyurea', 'Mitoxantrone')",-101.2566103,-157.8806763,-145.3657766,-13.9831464,-84.3774184,-124.8589792,-18.82907245,-137.592878,-142.1859229,-231.720206,-203.5451613,-161.8528354,-112.4902933,10.9416189,-87.53529287,-93.07808953,-123.4218995,-210.2029408,-158.1003735,-196.722844,-261.5436117,-139.0627306,-147.7006116,-161.0720898,-163.1981381,-139.1521043,-228.6025816,-117.1065104,-26.3368,-54.7232184,-114.3679892,-154.373672,-119.9689334,-113.9738364,-273.249881,-129.5655514,-239.9758951,-187.7778816,-126.0885778,-200.0438822,25.68182867,-162.1383162,-112.842498,-122.3822435,-94.28919914,-142.2956822,-149.9442757,-141.2123032,-139.6660667,-120.1675799,-74.6978256,-103.5722005,78.54061243,-108.2015532,-141.3639963,-139.8848013,-99.44374791,-302.1998661,-115.0174517,-209.9210376
"('Estramustine phosphate sodium', 'Mitoxantrone')",-181.2555191,-174.6555678,-124.6009594,-170.3396733,-128.6902225,-202.6895109,-71.50664432,-142.0153687,-159.8459349,-232.4122866,-192.860869,-199.2373474,-180.404227,-71.56581977,-126.2112619,-193.2704769,-168.9557888,-172.1088918,-238.8257549,-171.9826148,-307.7145213,-233.5390888,-192.0586476,-204.456375,-262.2918137,-188.674885,-233.8734113,-190.0951494,23.02519189,-164.370217,-140.5707791,-268.8903038,-170.2565669,-158.0472427,-283.0994629,-233.3785583,-267.1778533,-212.4272757,-186.8921756,-208.2975826,-94.62736435,-197.2477283,-140.4833027,-183.9480689,-159.945349,-152.893232,-177.2427429,-195.0666272,-174.2800758,-108.6063226,-186.8898294,-170.188267,9.034178,-198.38259,-232.5520826,-186.4325649,-82.28670367,-277.8978023,-253.890178,-225.1061259
"('Amifostine', 'Cabazitaxel')",-162.6117942,-189.8006806,-201.6628966,-177.364573,-132.5345295,-91.80032129,-334.7222701,-59.8623378,-107.4119787,-275.8046547,-234.8971256,-199.2774217,-264.1866971,-312.9019607,-189.1356279,-304.6987714,-130.1162944,-220.0597344,-262.868569,-225.972767,-199.0627808,-279.4190827,-208.4319695,-231.1771219,-203.124237,-250.8926621,-168.4522058,-171.9722293,-91.93783611,-214.0138746,-218.6872388,-176.1483607,-118.7479309,-167.6696931,-358.7411876,-89.07341507,-211.9486077,-137.9225432,-155.0584315,-159.8510315,-15.261689,-96.63853593,-199.598465,-162.7450303,-123.157249,-228.590635,-195.2528667,-162.181728,-157.4459106,-113.8836479,-209.9951892,-326.9074946,-249.4259532,-172.2818299,-229.8116912,-165.5544194,-167.2612103,-212.7620541,-142.0947669,-255.798527
"('Thiotepa', 'Chlorambucil')",-256.2588704,-240.4601654,-203.5180633,-158.468363,-275.6215408,-250.9321961,-89.57844693,-168.2487792,-137.28748,-269.883457,-349.0524524,-240.3462229,-218.325293,-99.3578684,-151.3052279,-268.5783168,-251.708485,-262.7639245,-233.1940619,-226.0262092,-382.4802939,-232.3218409,-282.2511023,-276.3471709,-255.6384104,-289.0754641,-291.1597081,-271.8410184,17.42373072,-310.8659774,-156.1428631,-282.0184588,-181.4998893,-218.4824614,-234.5593218,-260.3641379,-329.2894909,-296.1467445,-275.1406573,-264.6492753,-106.0943824,-309.5615373,-160.5387271,-192.8376161,-190.111952,-278.866219,-255.7052075,-213.938106,-270.8597327,-165.4711994,-254.1890071,-205.9053683,-27.80799195,-230.3216986,-293.0915208,-307.2140725,-204.0606156,-328.8347269,-256.9854356,-277.9592788
"('Thalidomide', 'Chlorambucil')",-199.0318601,-282.4167305,-242.4982158,-210.2464134,-265.3700735,-58.46957056,-113.1150811,-251.2781562,-268.8901509,-254.8770383,-272.6296012,-180.2166577,-228.5016671,-205.9769579,-213.4597712,-209.267989,-285.8743206,-251.9478344,-257.4489603,-263.0623042,-283.3773236,-269.1190318,-228.4376902,-260.5378366,-264.3371786,-190.4576649,-272.7345301,-222.0045837,-132.4077573,-333.0323536,-185.4401434,-283.522799,-210.0128471,-228.3826592,-269.8772705,-289.0375701,-303.3653345,-290.3923257,-278.0390774,-262.5123413,-134.3068127,-216.5735318,-250.5965067,-183.45855,-239.3208987,-270.0794653,-286.4013099,-253.4237665,-199.9956907,-177.06932,-284.2220588,-302.8818279,-181.9130613,-273.6760077,-223.1629884,-281.9003532,-244.8881359,-300.5999141,-99.6478596,-268.5948545
"('Thioguanine', 'Chlorambucil')",-161.2246904,-258.3773961,-159.57737,-106.4987383,-239.6159424,-64.88318316,-76.66810452,-217.2507693,-207.2100686,-267.6256615,-151.8767042,-178.4436547,-193.4120289,-125.963715,-99.69283251,-169.6966088,-178.1575733,-53.9880488,-143.2702585,-168.4840953,-212.4871861,-136.9607025,-222.4535131,-204.9157958,-230.9278886,-236.7138114,-285.6180616,-145.3408123,-63.08363801,-305.6525066,-151.1814948,-236.0433167,-176.1434342,-199.9392812,-217.7977528,-148.948136,-220.3640256,-163.5220586,-203.7677821,-186.6375798,-226.3065595,-170.9965034,-174.8586265,-152.6642953,-104.1375024,-160.0897101,-217.4393217,-241.0931344,-231.2593434,-203.2706135,-190.5672622,-217.4524899,-23.77879531,-232.0439448,-252.9477375,-255.7791492,-216.368577,-261.0942046,-229.7996178,-231.534006
"('Thioguanine', 'Exemestane')",-108.6486618,-188.1896781,-127.7112116,-116.6855592,-171.800458,-138.2420472,-64.2445482,-183.1863408,-89.31506021,-148.1162574,-48.04152224,-64.9715242,-133.8991675,-129.3480283,-74.23480193,-110.4551793,-94.73562729,-130.255052,-167.0994815,-60.77704134,-62.79826045,-19.21371348,-161.63832,-164.1541467,-136.4215255,-124.7658861,-117.6993924,-113.7039939,-49.94365367,-155.7881625,-139.9983099,-52.78057936,-82.11094137,-99.98773991,-121.6198617,-95.862672,-140.5120728,-103.4457485,-130.5561219,-132.9401214,-129.3317653,-194.9368394,-73.35949644,-132.3069076,-92.03565397,-70.55229024,-170.308121,-118.9723658,-152.9981071,-138.096524,-217.1719171,-191.7666057,-163.9270811,-137.3625751,-168.4135999,-162.5241407,-181.0718639,-112.4396906,-203.0204414,-160.8883602
"('Thiotepa', 'Thioguanine')",-208.2884886,-262.9614806,-169.8860457,-155.2676846,-238.9792102,-181.658113,-29.59998859,-182.6945953,-102.508556,-184.3590599,-173.7163856,-181.1583457,-186.2849176,-56.97678258,-153.5820381,-242.1798867,-212.7602598,-152.7360181,-187.4462763,-158.8759082,-274.5469453,-114.6597904,-248.0121582,-252.3041467,-222.8771969,-255.958688,-286.4476456,-226.7720435,-75.24193048,-262.0433512,-125.0407457,-233.782107,-151.0931721,-227.4971424,-248.4819124,-214.6150303,-218.9300412,-209.1014195,-217.8734432,-209.0889567,-172.8234012,-297.5725459,-233.5939833,-194.8601245,-219.2703514,-286.2034778,-263.6999806,-149.9006948,-231.3714766,-212.5936182,-290.5828071,-234.3394672,-24.40740413,-226.1416786,-282.3370683,-248.4222366,-194.0390774,-287.9841022,-181.8650861,-184.7600042
"('Thiotepa', 'Ruxolitinib')",-207.4481471,-266.2306636,-231.1369019,-209.4154323,-263.2834942,-218.7457554,-144.4875454,-228.2432352,-229.1927208,-301.958253,-330.3918079,-239.828062,-282.0024993,-89.80617341,-225.5228884,-240.588791,-202.4567784,-284.4023566,-271.2565198,-222.7378893,-220.2289232,-225.9339948,-265.40371,-263.6739235,-289.5073829,-270.6509282,-377.1550519,-249.6509248,-145.2675089,-215.6111045,-233.6059907,-331.8949961,-253.8000436,-236.3257466,-288.5648621,-328.4859689,-272.6450283,-291.2260717,-255.0111731,-282.784939,-236.0571451,-317.1702376,-243.2082727,-235.1852567,-284.9369887,-289.6964635,-311.6076375,-310.3781842,-296.7256036,-236.3109028,-262.4462174,-300.4684811,-33.79649327,-267.659045,-272.7999935,-293.816024,-272.7813006,-332.4563152,-275.2786446,-275.7675269
"('Thiotepa', 'Melphalan')",-206.4142125,-283.7981878,-214.8183934,-143.5450311,-254.4525779,-230.6747246,-80.40994441,-162.0697493,-203.089651,-260.1428726,-277.6614095,-229.9076444,-235.3199136,-88.51083012,-207.5563965,-267.7918739,-294.9570785,-241.7547293,-183.4557839,-217.1404518,-322.0055764,-227.1046218,-266.8603389,-247.6963753,-274.8892157,-252.8191894,-273.868547,-203.1620206,-7.4852774,-246.2726783,-144.9835281,-206.0515746,-179.5145416,-279.5651709,-225.489892,-247.9839379,-303.4138174,-302.5323074,-289.0467498,-247.4656853,-155.0304027,-294.9092123,-205.747505,-201.5923656,-213.0243443,-250.5106162,-236.2796516,-217.3521981,-219.2032093,-195.1607759,-232.6771038,-216.3337065,-53.96293688,-207.9291495,-247.121469,-298.8903029,-220.947636,-313.1353508,-246.9032258,-273.3475539
"('Thalidomide', 'Gefitinib')",-314.543156,-206.2426851,-214.6714789,-180.1647264,-239.9723812,-254.4260827,-340.985342,-225.2550493,-226.0201661,-275.1458598,-231.7658662,-408.896104,-228.5306686,-258.9961959,-235.5440956,-285.3883641,-214.3787181,-241.9079109,-53.87487594,-275.6233951,-420.7085407,-271.777969,-300.1636512,-232.5199018,-242.6718426,-245.7432023,-301.9793915,-232.7958317,-211.4155854,-207.2711234,-290.7754235,-48.81874767,-276.4611105,-138.8198769,-235.0604499,-250.4044671,-226.1858893,-155.9576251,-253.4261205,-252.3218522,-178.204624,-255.4156528,-178.5659734,-405.378147,-279.7439665,-248.1253723,-182.7125435,-177.9610073,-231.202789,-162.4703808,-259.9092483,-231.8345355,-210.7823105,-271.4498159,-248.5088482,-172.1743297,-280.0737591,-265.4231857,-362.8746168,-236.8968389
"('Thalidomide', 'Thioguanine')",-207.3010737,-270.6436449,-211.9602296,-172.274366,-227.1022056,-61.8735411,-13.98223957,-199.3439968,-176.3727531,-102.4849783,-186.6605742,-104.5239333,-178.121841,-196.4621902,-134.1578956,-215.5801166,-215.969328,-203.50008,-235.0153548,-186.6998276,-222.8867779,-144.1083327,-165.1842352,-216.8519549,-257.0955309,-237.5586857,-230.1637174,-226.9724102,-69.360419,-278.0656043,-167.1904327,-272.1380082,-160.6497846,-213.2901003,-184.4399138,-170.4254705,-192.6240516,-188.5635821,-222.3930736,-216.4739771,-196.0400911,-219.534143,-203.7598457,-99.27972082,-235.4968062,-248.5652935,-244.8664219,-221.3768357,-183.0539749,-225.991785,-303.527335,-279.1167587,-185.0948373,-251.4835475,-243.4023478,-227.2247838,-232.5504687,-206.9453214,-35.2971228,-183.066576
"('Thalidomide', 'Melphalan')",-241.8410957,-261.3987382,-257.8117942,-209.97186,-254.3733688,-131.0080335,-93.28818032,-237.2416194,-295.7733345,-264.5073633,-253.4765007,-169.281546,-252.0420603,-189.9765028,-219.2682496,-212.9442725,-248.7744746,-222.598312,-214.7370302,-259.5124332,-242.6299801,-275.4440448,-239.172927,-231.4662981,-249.1828253,-256.3779463,-259.1367625,-247.1738605,-150.9780736,-260.2294782,-240.3105989,-231.9328002,-220.0184508,-249.9306233,-243.6429912,-203.1925145,-306.5681028,-292.2636303,-243.8691915,-293.7273056,-200.8557961,-204.641031,-231.0426568,-165.0091907,-253.7817167,-268.5470571,-285.9673477,-246.9318052,-208.8397553,-181.9763,-283.7145347,-271.207507,-137.6504485,-234.8949609,-227.4421686,-304.9685905,-262.3124119,-284.4871542,-133.8388364,-275.6067502
"('Gefitinib', 'Ruxolitinib')",-196.0839353,-144.9910299,-212.7990272,-176.2130983,-212.543956,-153.0035276,-207.562781,-176.4649053,-172.7207228,-213.0677565,-328.9609274,-281.4356964,-180.6185368,-255.8817431,-233.5486458,-163.2077233,-139.1068402,-237.7785482,-5.4258469,-182.1244075,-194.1629581,-290.8181231,-241.8163055,-204.2694333,-199.0706198,-262.8908381,-203.7528211,-156.7182019,-267.3538775,-159.214395,-194.9123226,-32.86938253,-254.262165,-92.99417625,-230.394712,-215.5836667,-233.7364081,-193.6120589,-207.5090547,-283.180635,-145.040533,-241.1912478,-203.8223567,-298.4464802,-224.8760831,-223.6464031,-181.4497191,-200.8339555,-142.9678244,-233.4881098,-302.0184459,-159.7077121,-43.47682304,-240.3943617,-214.5718429,-151.0057315,-281.3486716,-175.9346097,-255.3366685,-170.6872695
"('Sorafenib tosylate', 'Gefitinib')",-173.5495266,-164.1834147,-203.3707466,-125.5423085,-191.3571424,-96.21302312,-156.1064589,-170.4973414,-170.7988464,-176.7673682,-237.528021,-178.7040998,-199.290955,-203.940341,-111.2669215,-166.2656693,-184.7296296,-108.834354,-95.9786488,-138.9404299,-159.7134024,-230.232521,-186.0119292,-20.66903562,-166.8441377,-181.0254827,-195.1196363,-160.0669457,-100.6828378,-184.0005489,-166.1509928,-140.1561916,-180.1344699,-77.87847333,-165.3118183,-141.2205519,-207.135664,-128.8789095,-195.820007,-201.4923073,-136.298592,-167.2559908,-208.4457117,-227.5678343,-199.1800107,-183.7809296,-172.9982384,-122.0287133,-167.6394433,-203.5821186,-174.3410233,-171.3769339,-134.4195524,-252.3655421,-93.07369461,-134.2957506,-204.8290321,-118.5994452,-161.6115075,-157.882657
"('Sorafenib tosylate', 'Thioguanine')",-167.0119788,-260.8112368,-135.5822975,-147.6934754,-167.745091,-112.841795,-35.30139824,-183.1286591,-91.1483056,-136.2543496,-128.707183,-117.0962893,-117.785863,-70.5686324,-133.686415,-193.2423501,-125.5016086,-133.0356204,-190.762854,-101.2435794,-124.8294302,-64.46903108,-189.0370037,-142.7721388,-156.5819898,-185.2659774,-204.5780057,-129.8891532,-77.9153658,-189.1945573,-121.4358425,-156.8209113,-60.14961966,-161.6556079,-142.7775789,-111.8818303,-182.380612,-127.2880773,-161.6974425,-173.2608334,-90.21132564,-149.3951817,-176.9165747,-147.5032025,-185.9580191,-226.4294747,-225.9214027,-124.6345767,-161.33089,-181.8279697,-173.1249002,-228.2348491,-61.7861004,-239.5774642,-166.3463822,-164.5603832,-155.2520593,-153.7223438,-112.7871945,-178.1066664
"('Thioguanine', 'Ruxolitinib')",-216.9370797,-252.9131728,-204.3287995,-182.3394693,-227.2130067,-147.626155,-176.7342012,-225.0341831,-159.7733957,-232.043015,-161.952197,-184.504629,-168.7727205,-222.087191,-201.8228714,-215.6175983,-145.3314637,-192.4027364,-218.1409251,-141.0177625,-113.9010525,-104.7879006,-201.4839235,-223.8754807,-200.8094749,-264.3605688,-236.55734,-181.0562992,-112.3670435,-245.1855705,-203.4533018,-201.408662,-204.102148,-126.0367891,-216.92169,-169.8922597,-199.6688712,-179.1965661,-218.8744547,-241.2967441,-170.692471,-242.8638518,-274.3077187,-186.1741397,-161.1831643,-260.5093388,-286.937134,-224.3193572,-156.348744,-211.9367697,-281.4458432,-257.2770224,6.92879584,-229.7020132,-186.7157492,-208.410202,-246.1181998,-233.1940252,-178.3586995,-168.2877529
"('Thioguanine', 'Melphalan')",-193.0150029,-303.846228,-181.8093778,-83.4943675,-260.7990038,-141.9936596,-74.76086476,-203.2979643,-200.0447484,-251.8670303,-171.7485666,-187.567618,-224.326198,-143.6744098,-153.6485541,-149.2272873,-180.4831385,-177.365452,-185.6801804,-144.7117624,-202.9699229,-114.6251602,-244.2947099,-238.5671875,-221.413593,-253.1232361,-294.6486633,-139.9080165,-80.03267942,-253.9592546,-213.789862,-232.1225354,-169.1461702,-234.8734787,-264.0385947,-179.835164,-263.9163245,-162.2568297,-191.5399793,-220.1393826,-215.6747941,-233.9669137,-232.8475648,-186.5215849,-157.4300296,-193.8985034,-297.8526319,-166.1491348,-241.2994087,-237.2934933,-243.7851578,-278.373846,-17.34440593,-241.07862,-257.9584762,-271.5541919,-208.4212624,-255.887422,-222.3708366,-231.5081769
"('Procarbazine hydrochloride', 'Thalidomide')",-292.4849867,-298.88028,-275.039568,-277.070064,-316.043704,-266.419888,-302.2372107,-323.0099013,-293.839496,-271.949984,-188.168846,-295.9946107,-303.1760187,-317.422824,-319.4774,-303.642456,-312.535208,-263.8486433,-297.004416,-299.657562,-276.0785953,-244.4663,-306.93764,-329.827776,-293.981714,-277.757664,-294.7833413,-324.9721067,-322.454822,-253.2677973,-264.772022,-286.410464,-305.5148,-297.1969247,-383.051948,-225.0361833,-330.5364613,-322.5038787,-297.0237107,-312.9759787,-343.153764,-303.710014,-308.0177813,-313.47459,-320.949926,-277.968176,-317.152704,-307.8737727,-310.77076,-295.3139787,-337.705918,-291.75034,-324.5249333,-295.123048,-325.8830133,-274.904924,-286.6593713,-290.129136,-324.941904,-264.37481
"('Melphalan', 'Ruxolitinib')",-224.7154087,-277.8957222,-225.55832,-192.5019241,-201.6665653,-182.3542959,-174.7019453,-190.5403367,-241.5783321,-271.2154418,-283.7988204,-217.7320571,-247.6935251,-230.7836579,-248.1669947,-197.0237026,-208.5007411,-302.354335,-241.689031,-243.4691146,-207.0771765,-234.8934946,-289.3413571,-240.129104,-248.1736011,-279.4232645,-326.7607427,-212.8008554,-172.5747595,-301.5523442,-254.5343806,-263.9096919,-225.7654166,-207.1363325,-274.769044,-241.7516327,-350.7043657,-290.8976923,-268.6401674,-275.3587282,-238.3356246,-226.2692494,-243.8506604,-283.0601781,-250.0138992,-296.57868,-261.7001048,-238.642131,-261.9762644,-219.1646604,-257.0529005,-280.8831591,-68.66959968,-258.0701108,-263.7299278,-292.6348984,-255.0558346,-262.3451705,-273.9197817,-264.9831223
"('Thiotepa', 'Teniposide')",-228.4947542,-221.830083,-178.3981775,-146.1741832,-196.6933289,-181.5062266,-50.91736199,-90.73908897,-126.5270031,-194.3427783,-241.207084,-184.1046036,-177.1378349,-14.79898376,-100.7876701,-197.9455613,-268.8996722,-194.7414167,-218.6783704,-176.5242508,-311.2057528,-205.3398999,-233.8715471,-248.0217342,-201.7139919,-277.7022054,-283.1872721,-206.0921817,54.90330968,-255.1030651,-128.2535368,-338.0344889,-141.3440699,-206.2547219,-278.1604955,-207.2826833,-285.3682396,-240.9083067,-243.3464544,-237.5117947,-52.00129277,-242.9456346,-183.3296138,-187.7093862,-144.1530316,-200.2318933,-231.4592478,-204.4636214,-222.5130334,-169.4443473,-200.6743121,-175.468983,34.03394203,-160.1018846,-258.7135112,-219.1432474,-119.3901584,-254.5391653,-197.6932576,-256.4901341
"('Thiotepa', 'Vinorelbine tartrate')",-192.2050653,-220.7746817,-193.8079351,-185.8659442,-194.1499479,-203.6344574,-115.2076174,-179.1155472,-131.835097,-226.7955802,-185.9666846,-175.7448067,-244.7445654,-52.56850598,-144.8305938,-225.090536,-223.7862959,-142.8426703,-213.1339975,-155.8208732,-227.4473887,-230.7139466,-197.2789611,-181.3851892,-183.9396701,-229.1476914,-145.6569961,-202.7844702,-54.20817192,-155.4574025,-110.1659191,-246.3054573,-152.8391706,-243.3248128,-252.9383785,-251.4918601,-245.7335258,-187.5023496,-181.1997043,-188.0334547,-148.5634892,-210.3919948,-177.4767816,-215.0274399,-188.1906919,-178.3764531,-153.633005,-142.3895814,-215.1679428,-165.3306514,-190.737991,-235.2813238,-36.56306104,-196.0534769,-188.8222157,-251.97565,-127.1665873,-243.4473219,-207.0951579,-268.8626269
"('Thiotepa', 'Crizotinib')",-248.3533744,-268.5988759,-237.5096455,-246.1512495,-297.7443862,-229.3577774,-152.3115755,-215.5747124,-272.938238,-373.1285647,-329.0333529,-203.8796696,-254.9393014,-150.1807021,-305.4803936,-281.1277479,-292.3952742,-274.3634794,-285.7346234,-260.5272773,-187.0329708,-256.5944052,-325.4126438,-252.0385369,-296.7599695,-276.5906877,-249.7566833,-258.2176001,-94.15617573,-265.2213289,-245.9614095,-331.0217007,-252.7984976,-304.6023731,-322.2640826,-294.2734119,-335.1958417,-264.9347042,-225.1858776,-255.6016965,-167.0691758,-325.3278112,-282.3261003,-241.1499533,-276.0137516,-236.7380184,-265.4542309,-275.4839518,-323.059804,-227.8884007,-254.4302941,-294.030082,-15.85425609,-273.58221,-269.0377171,-256.796267,-293.3799724,-297.5877251,-254.642355,-305.3884924
"('Thiotepa', 'Axitinib')",-216.4994558,-300.462556,-253.9012437,-238.5910726,-300.4008087,-304.2419304,-122.0140186,-202.2522739,-280.7552509,-281.5314833,-301.4365434,-251.5511704,-252.3128708,-34.32150275,-261.5812282,-281.5249432,-251.7251224,-249.9532823,-302.6705458,-110.1729106,-296.9108193,-256.5966817,-276.1549131,-279.6278794,-269.1130023,-267.8452291,-338.4993498,-239.2769678,-97.62903408,-274.2494895,-240.8922667,-318.1455332,-257.5881133,-269.1876452,-287.4176598,-300.3384807,-321.0189267,-297.997341,-281.7928011,-273.2305045,-281.8549036,-314.9857126,-251.1577328,-214.425,-246.8439434,-273.043389,-282.3615661,-290.7991222,-303.4469504,-250.1509896,-270.6519303,-288.5640043,-52.24119105,-281.061625,-241.4642946,-276.9323261,-240.7871371,-302.2747973,-181.2088495,-286.837422
"('Thalidomide', 'Teniposide')",-226.9866351,-216.6559047,-166.7025812,-174.8976676,-242.5033978,-50.1081817,-68.27889477,-134.8407328,-186.8933569,-106.7402237,-201.0555014,-205.3305713,-200.1355419,-11.63041316,-186.0974184,-164.0912763,-254.4165139,-227.7003809,-238.2273373,-161.9425536,-258.6496621,-208.4916906,-228.2992269,-217.1968483,-189.2097609,-224.1631148,-260.2638535,-205.5965958,-15.23060003,-277.4009206,-134.9769104,-285.03395,-153.4434813,-215.6236333,-297.3215514,-228.3428173,-299.8970476,-231.5618087,-238.1575294,-261.7781048,26.31917331,-213.2591008,-196.9712936,-169.1364028,-215.745424,-196.9452436,-230.5798235,-199.4196998,-244.6315388,-149.9295417,-242.4090801,-223.1793073,-122.945289,-179.1010884,-215.214533,-253.2206395,-166.1179724,-308.9040638,-163.9386012,-251.8284334
"('Thalidomide', 'Vinorelbine tartrate')",-214.2421731,-224.6556138,-221.2035082,-185.7762945,-206.1237902,-181.907974,-204.3963107,-198.1713412,-190.5568893,-64.96824421,-152.6012007,-210.2188146,-281.0234234,-206.9815932,-186.3618038,-208.0320971,-174.1755216,-177.9508874,-220.4327132,-183.0499438,-171.3758732,-228.8731525,-138.9321923,-158.2136417,-190.9618069,-223.4143183,-93.66178381,-212.0842202,-234.810533,-192.9558086,-169.8416451,-208.3991892,-207.7935595,-151.6438298,-267.3962542,-179.1532784,-247.7586499,-216.0362481,-194.6375055,-195.5904126,-28.55727095,-168.4406956,-156.5569266,-203.0090778,-188.5109142,-182.3189258,-168.2793163,-113.8723526,-157.5321178,-160.7955267,-165.2431999,-193.8036014,-44.59929239,-208.1054978,-217.5965533,-230.7952559,-222.6501699,-217.0275843,-160.796174,-290.4495218
"('Gefitinib', 'Axitinib')",-190.9042421,-103.271802,-215.3480275,-166.4970516,-213.1617731,-160.9880238,-212.25878,-190.8818286,-204.6983752,-188.6024577,-244.0702951,-289.1936524,-210.768061,-261.9688831,-194.2415167,-194.8546375,-178.1117112,-240.9261779,-75.56067614,-114.9112162,-291.4622523,-299.3599193,-224.9268321,-212.5697933,-182.6326903,-324.9533899,-179.0548141,-181.8572186,-150.6478419,-171.493723,-292.7470874,-88.32245227,-278.234745,-76.65063528,-228.301105,-240.3556718,-221.7415244,-175.628176,-217.478392,-270.7799506,-196.5567676,-210.7934164,-274.1897545,-271.6322829,-189.1299205,-233.147755,-198.9343312,-199.9496675,-144.7727388,-198.3351571,-256.0738537,-135.1803861,-142.8865698,-267.0361482,-185.3611748,-92.80762192,-223.3753019,-177.5388643,-234.4455313,-176.0813344
"('Sorafenib tosylate', 'Vinorelbine tartrate')",-138.4768571,-184.1708196,-160.6966676,-157.1563369,-63.12528322,-199.0498966,-108.5881122,-35.53031132,-166.6629603,-55.84248704,-63.841719,-183.6182511,-218.1423242,-50.48400997,-171.3625885,-98.4214032,-57.68268547,-107.9346659,-174.5399662,-14.88478101,-97.96524973,-155.7915581,-25.72016431,27.17343154,-105.642754,-119.2774849,52.52003133,-51.18035573,22.2381166,-125.8639657,-96.43816108,-165.6362575,-109.9677201,-96.03914453,-186.8504397,-52.2754294,-154.2650086,-189.7581087,-120.1933417,-135.3336422,-9.043727907,-72.03314667,-111.9809055,-170.1419927,-172.1099608,-62.29949445,-122.8265084,-18.49372624,-160.62562,-158.6155773,-103.8426089,-160.4215566,22.99126264,-152.5917197,-112.2318173,-187.5568327,-112.3859097,-140.4746664,-29.84443048,-220.689092
"('Sorafenib tosylate', 'Crizotinib')",-262.7738339,-230.8038327,-228.8015821,-274.2756172,-287.6644238,-231.6525505,-179.6854394,-202.2227061,-275.7664987,-252.3626159,-257.4730252,-208.5530272,-282.5376168,-71.80786865,-243.3395203,-331.1512499,-194.8907899,-245.170792,-286.4790325,-154.6803251,-128.4727622,-268.4378439,-272.0276033,-261.1278942,-216.5371075,-260.5615561,-195.3960703,-245.2325664,-151.4226186,-247.1528423,-234.8618767,-264.0785139,-219.4430057,-214.1982746,-272.3373408,-257.5026072,-300.9956356,-284.4498783,-248.8287357,-219.7917819,-126.2326341,-257.9930951,-230.7220539,-193.8539901,-276.8286774,-179.2456821,-231.5226838,-264.2398869,-244.2272501,-281.3735984,-297.017139,-275.6173355,-79.31319176,-328.7519443,-174.4138093,-251.6359684,-216.4015296,-214.8064436,-225.903675,-240.4339483
"('Sorafenib tosylate', 'Axitinib')",-288.1019893,-272.505331,-231.9749179,-309.9034022,-286.4360045,-315.7758048,-236.091029,-277.5273973,-349.507093,-255.7580508,-287.5112331,-251.3653651,-251.6619468,-301.4001225,-254.7138531,-297.2097732,-248.7934103,-190.8067488,-312.4834178,-110.7866424,-191.066502,-279.7913094,-252.7710167,-236.7219899,-181.9068173,-199.4046669,-272.0482579,-227.1308813,-193.2564311,-254.9451745,-260.4387633,-291.6793692,-232.2908517,-219.7172133,-250.0610652,-232.4501605,-266.4794478,-293.8394214,-237.9547034,-254.5594486,-173.3797978,-266.8160254,-264.1093753,-245.6968664,-239.7395138,-251.2528396,-277.9121464,-220.3347941,-271.0574317,-293.9768072,-296.5776973,-339.3691418,-111.9720583,-262.4113657,-187.2402607,-317.7252361,-224.0997897,-223.9469112,-265.9634146,-218.5674586
